File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\wamp\www\internship\protected\modules\eledAdmin\controllers\InternshipPositionController.php,174,102,38,11,20,8,52,321,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\controllers\ProfessorController.php,212,127,61,13,33,9,52,323,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\controllers\RequestInternshipController.php,174,102,38,11,20,8,52,321,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\controllers\RequestsController.php,171,107,42,11,29,8,35,232,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\controllers\SiteController.php,161,100,52,15,30,1,31,137,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\controllers\StudentController.php,199,112,60,13,30,9,57,328,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\controllers\UsersController.php,174,102,38,11,20,8,52,321,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\company\admin.php,57,47,11,2,8,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\company\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\company\index.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\company\update.php,21,15,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\company\view.php,30,23,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\company\_form.php,86,59,0,0,20,19,7,121,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\company\_search.php,40,28,0,0,9,0,3,12,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\company\_view.php,25,16,0,0,7,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\default\index.php,17,14,1,0,2,0,1,4,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\internshipPosition\admin.php,93,49,11,2,8,0,36,41,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\internshipPosition\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\internshipPosition\index.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\internshipPosition\update.php,21,15,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\internshipPosition\view.php,64,57,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\internshipPosition\_form.php,275,223,2,0,45,79,7,287,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\internshipPosition\_search.php,210,164,0,0,43,0,3,12,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\internshipPosition\_view.php,163,27,0,0,10,2,126,319,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\professor\admin.php,56,46,11,2,8,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\professor\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\professor\index.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\professor\update.php,21,15,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\professor\view.php,33,27,3,0,4,1,2,10,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\professor\_form.php,90,59,0,0,24,19,7,107,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\professor\_search.php,35,24,0,0,8,0,3,12,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\professor\_view.php,21,13,0,0,6,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\requestInternship\admin.php,70,49,11,2,8,0,13,18,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\requestInternship\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\requestInternship\index.php,21,14,2,0,5,0,2,8,0,0
