Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\wamp\www\internship\protected\extensions\booster\assets\ckeditor\plugins,3,240,206,123,0,24,0,10,54,8,34
C:\wamp\www\internship\protected\extensions\booster\assets\ckeditor\plugins\scayt,1,72,70,43,0,2,0,0,0,0,0
C:\wamp\www\internship\protected\extensions\booster\assets\ckeditor\plugins\scayt\dialogs,1,72,70,43,0,2,0,0,0,0,0
C:\wamp\www\internship\protected\extensions\booster\assets\ckeditor\plugins\templates,1,85,69,37,0,10,0,6,37,4,17
C:\wamp\www\internship\protected\extensions\booster\assets\ckeditor\plugins\templates\dialogs,1,85,69,37,0,10,0,6,37,4,17
C:\wamp\www\internship\protected\extensions\booster\assets\ckeditor\plugins\wsc,1,83,67,43,0,12,0,4,17,4,17
C:\wamp\www\internship\protected\extensions\booster\assets\ckeditor\plugins\wsc\dialogs,1,83,67,43,0,12,0,4,17,4,17
C:\wamp\www\internship\protected\extensions\booster\assets\ckeditor\samples,4,622,465,259,3,93,5,64,261,13,57
C:\wamp\www\internship\protected\extensions\booster\assets\ckeditor\samples\assets,2,265,190,80,3,41,1,34,89,9,39
C:\wamp\www\internship\protected\extensions\booster\assets\ckeditor\samples\assets\outputxhtml,1,205,137,75,0,38,0,30,71,9,39
C:\wamp\www\internship\protected\extensions\booster\assets\ckeditor\skins,12,60,12,2555,0,0,0,48,204,48,204
C:\wamp\www\internship\protected\extensions\booster\assets\ckeditor\skins\moono,12,60,12,2555,0,0,0,48,204,48,204
C:\wamp\www\internship\protected\extensions\booster\assets\css,15,3401,2663,2250,0,420,37,318,1103,40,133
C:\wamp\www\internship\protected\extensions\booster\assets\css\fileupload,1,85,68,52,0,5,0,12,38,0,0
C:\wamp\www\internship\protected\extensions\booster\assets\font-awesome,2,1571,1558,1492,0,1,1,12,85,9,51
C:\wamp\www\internship\protected\extensions\booster\assets\font-awesome\css,2,1571,1558,1492,0,1,1,12,85,9,51
C:\wamp\www\internship\protected\extensions\booster\assets\picker,1,49,46,41,0,3,0,0,0,0,0
C:\wamp\www\internship\protected\extensions\booster\assets\redactor,3,1059,985,711,0,54,3,20,25,0,0
C:\wamp\www\internship\protected\extensions\booster\assets\redactor\plugins,1,32,31,24,0,1,0,0,0,0,0
C:\wamp\www\internship\protected\extensions\booster\assets\redactor\plugins\clips,1,32,31,24,0,1,0,0,0,0,0
